Symbol,Description,Quantity,Currency,LastPrice,PricePaid,DayChange,ProfitLoss,MarketValue,ProfitLossPercentage
1909,Nippon Dry-Chemical Co Ltd.,303,JPY,8660,7990,0.00,"1,299.26",16793.472,8.39
7936,ASICS Corp,859,JPY,3710,3744,0.00,-186.92,20396.096,-0.91
8053,SUMITOMO CORP,640,JPY,4900,4846,0.00,221.18,20070.4,1.11
AGX,"Argan, Inc.",55,USD,313.7,299.73,0.00,768.35,17253.5,4.66
ANET,Arista Networks Inc,100,USD,128.59,147.2,0.00,"-1,861.00",12859,-12.64
APH,Amphenol Corp. - Ordinary Shares - Class A,143,USD,139.36,139.9,0.00,-77.22,19928.48,-0.39
ARI,Apollo Commercial Real Estate Finance Inc,4,USD,10.15,10.11,0.00,0.16,40.6,0.40
ASA,ASA Gold and Precious Metals Ltd,400,USD,52.98,45.52,0.00,"2,984.00",21192,16.39
C,Citigroup Inc,210,USD,108.88,96.66,0.00,"2,566.20",22864.8,12.64
CMI,Cummins Inc.,42,USD,510.65,482,0.00,"1,203.30",21447.3,5.94
CSGS,CSG Systems International Inc.,256,USD,77.01,77.28,0.00,-69.12,19714.56,-0.35
HWC,Highway Capital PLC,200,USD,63.28,63.06,0.00,44.00,12656,0.35
K,Kinross Gold Corporation,308,CAD,37.73,36.71,0.00,227.36,8410.001908,2.78
LCTU,BlackRock ETF Trust - BlackRock U.S. Carbon Transition Readiness ETF,278,USD,74.44,72.16,0.00,633.84,20694.32,3.16
MSFT,Microsoft Corporation,14,USD,483.16,523.99,0.00,-571.62,6764.24,-7.79
NVDA,NVIDIA Corp,100,USD,182.41,185.97,0.00,-356.00,18241,-1.91
NVT,nVent Electric plc,178,USD,107.72,111.99,0.00,-760.06,19174.16,-3.81
NWPX,Northwest Pipe Co.,312,USD,59.7,59.89,0.00,-59.28,18626.4,-0.32
PRIM,Primoris Services Corp,153,USD,125.66,124.15,0.00,231.03,19225.98,1.22
QQQ,Invesco Capital Management LLC - Invesco QQQ Trust Series 1,20,USD,625.48,605.07,0.00,408.20,12509.6,3.37
STRL,Sterling Infrastructure Inc,50,USD,325.1,358.95,0.00,"-1,692.50",16255,-9.43
TMO,Thermo Fisher Scientific Inc.,28,USD,572.77,572.91,0.00,-3.92,16037.56,-0.02
WLDN,Willdan Group Inc,190,USD,104.3,104.35,0.00,-9.50,19817,-0.05
WTS,"Watts Water Technologies, Inc. - Ordinary Shares - Class A",66,USD,272.66,272.26,0.00,26.40,17995.56,0.15
XYL,Xylem Inc,142,USD,139.01,141.48,0.00,-350.74,19739.42,-1.75
DRD,DRDGold Ltd. - ADR,333,USD,29.1,28.9517117117117,0.00,49.38,9690.3,0.51
ELA,Envela Corp,578,USD,13.2,11.71,0.00,861.22,7629.6,12.72
EOSE,Eos Energy Enterprises Inc - Ordinary Shares - Class A,200,USD,14.99,14.91,0.00,16.00,2998,0.54
GE,GE Aerospace,30,USD,283.94,297.17,0.00,-396.90,8518.2,-4.45
GOOGL,Alphabet Inc - Ordinary Shares - Class A,50,USD,321.27,321.47,0.00,-10.00,16063.5,-0.06
B-T-6.250-15052030,T-BOND 6.250% 15-May-2030,37,USD,1047.59811,1045.8384,0.00,65.11,38761.13007,0.17
